D1.source.country;D1.destination.country;D1 Latitude ;D1 Longtitude;D2 Latitude ;D2 Longtitude
Azerbaijan;Russia;40.467498779296875;50.04669952392578;62.093299865722656;129.77099609375
Russia;Azerbaijan;62.093299865722656;129.77099609375;40.467498779296875;50.04669952392578
Cote d'Ivoire;Burkina Faso;5.261390209197998;-3.9262900352478027;12.35319995880127;-1.5124200582504272
Cote d'Ivoire;Burkina Faso;5.261390209197998;-3.9262900352478027;12.35319995880127;-1.5124200582504272
Ghana;Burkina Faso;5.605189800262451;-0.16678600013256073;12.35319995880127;-1.5124200582504272
Mali;Cote d'Ivoire;12.533499717712402;-7.949940204620361;5.261390209197998;-3.9262900352478027
Mali;Senegal;12.533499717712402;-7.949940204620361;12.5556;-16.281799
Mali;Burkina Faso;12.533499717712402;-7.949940204620361;12.35319995880127;-1.5124200582504272
Burkina Faso;Cote d'Ivoire;12.35319995880127;-1.5124200582504272;5.261390209197998;-3.9262900352478027
Benin;Togo;6.357230186462402;2.384350061416626;9.767330169677734;1.091249942779541
Benin;Burkina Faso;6.357230186462402;2.384350061416626;12.35319995880127;-1.5124200582504272
Senegal;Mali;12.5556;-16.281799;12.533499717712402;-7.949940204620361
Senegal;Burkina Faso;12.5556;-16.281799;12.35319995880127;-1.5124200582504272
Togo;Burkina Faso;9.767330169677734;1.091249942779541;12.35319995880127;-1.5124200582504272
Niger;Burkina Faso;13.5024995803833;7.1267499923706055;12.35319995880127;-1.5124200582504272
Burkina Faso;Cote d'Ivoire;12.35319995880127;-1.5124200582504272;5.261390209197998;-3.9262900352478027
Burkina Faso;Ghana;12.35319995880127;-1.5124200582504272;5.605189800262451;-0.16678600013256073
Burkina Faso;Mali;12.35319995880127;-1.5124200582504272;12.533499717712402;-7.949940204620361
Burkina Faso;Benin;12.35319995880127;-1.5124200582504272;6.357230186462402;2.384350061416626
Burkina Faso;Senegal;12.35319995880127;-1.5124200582504272;12.5556;-16.281799
Burkina Faso;Togo;12.35319995880127;-1.5124200582504272;9.767330169677734;1.091249942779541
Burkina Faso;Niger;12.35319995880127;-1.5124200582504272;13.5024995803833;7.1267499923706055
Colombia;Ecuador;4.45278;-75.7664;-1.2120699882507324;-78.57460021972656
Colombia;Ecuador;4.45278;-75.7664;-1.2120699882507324;-78.57460021972656
Colombia;Ecuador;4.45278;-75.7664;-1.2120699882507324;-78.57460021972656
Ecuador;Colombia;-1.2120699882507324;-78.57460021972656;4.45278;-75.7664
Ecuador;Colombia;-1.2120699882507324;-78.57460021972656;4.45278;-75.7664
Ecuador;Colombia;-1.2120699882507324;-78.57460021972656;4.45278;-75.7664
Italy;Switzerland;41.541401;15.7181;47.083900451699996;6.792840003970001
France;Switzerland;50.962100982666016;1.954759955406189;47.083900451699996;6.792840003970001
United Kingdom;Switzerland;54.6575012207;-6.2158298492399995;47.083900451699996;6.792840003970001
Switzerland;Spain;47.083900451699996;6.792840003970001;28.452699661254883;-13.863800048828125
Cyprus;Switzerland;34.875099182128906;33.624900817871094;47.083900451699996;6.792840003970001
Spain;Switzerland;28.452699661254883;-13.863800048828125;47.083900451699996;6.792840003970001
Egypt;Switzerland;31.183900833129883;29.94890022277832;47.083900451699996;6.792840003970001
Spain;Switzerland;28.452699661254883;-13.863800048828125;47.083900451699996;6.792840003970001
Switzerland;Italy;47.083900451699996;6.792840003970001;41.541401;15.7181
Switzerland;France;47.083900451699996;6.792840003970001;50.962100982666016;1.954759955406189
Switzerland;United Kingdom;47.083900451699996;6.792840003970001;54.6575012207;-6.2158298492399995
Switzerland;Cyprus;47.083900451699996;6.792840003970001;34.875099182128906;33.624900817871094
Switzerland;Spain;47.083900451699996;6.792840003970001;28.452699661254883;-13.863800048828125
Switzerland;Egypt;47.083900451699996;6.792840003970001;31.183900833129883;29.94890022277832
Sweden;Finland;58.40230178833008;15.525699615478516;68.362602233887;23.424299240112
Sweden;Finland;58.40230178833008;15.525699615478516;68.362602233887;23.424299240112
Sweden;Norway;58.40230178833008;15.525699615478516;62.5625;6.119699954986572
Finland;Sweden;68.362602233887;23.424299240112;58.40230178833008;15.525699615478516
Norway;Sweden;62.5625;6.119699954986572;58.40230178833008;15.525699615478516
Finland;Sweden;68.362602233887;23.424299240112;58.40230178833008;15.525699615478516
Norway;Sweden;62.5625;6.119699954986572;58.40230178833008;15.525699615478516
Sweden;Norway;58.40230178833008;15.525699615478516;62.5625;6.119699954986572
United Arab Emirates;Philippines;24.433000564575195;54.651100158691406;14.5086;121.019997
Philippines;United Arab Emirates;14.5086;121.019997;24.433000564575195;54.651100158691406
Ghana;Senegal;5.605189800262451;-0.16678600013256073;12.5556;-16.281799
Ghana;Nigeria;5.605189800262451;-0.16678600013256073;9.006790161132812;7.263169765472412
Ghana;Liberia;5.605189800262451;-0.16678600013256073;6.289060115814209;-10.758700370788574
Spain;Gambia;28.452699661254883;-13.863800048828125;13.338000297546387;-16.65220069885254
Gambia;Spain;13.338000297546387;-16.65220069885254;28.452699661254883;-13.863800048828125
Gambia;Senegal;13.338000297546387;-16.65220069885254;12.5556;-16.281799
Gambia;Sierra Leone;13.338000297546387;-16.65220069885254;8.616439819335938;-13.195500373840332
Guinea;Guinea-Bissau;10.350600242615;-13.569199562073;11.2878999710083;-15.180500030517578
Senegal;Ghana;12.5556;-16.281799;5.605189800262451;-0.16678600013256073
Senegal;Gambia;12.5556;-16.281799;13.338000297546387;-16.65220069885254
Senegal;Cameroon;12.5556;-16.281799;4.08919000626;9.360529899600001
